risk,place,year,count,score,rank
opendns,pf,2016,60,31.02,172
opendns,pg,2016,70,32.19,165
opendns,ph,2016,32830,78.79,29
opendns,pk,2016,6770,66.83,55
opendns,pl,2016,72160,84.76,18
opendns,pr,2016,740,50.06,107
opendns,ps,2016,16440,73.55,39
opendns,pt,2016,4360,63.49,61
opendns,py,2016,190,39.75,137
opendns,qa,2016,260,42.13,130
opendns,re,2016,120,36.27,151
opendns,ro,2016,28440,77.7,31
opendns,rs,2016,29270,77.92,30
opendns,ru,2016,115720,88.34,8
opendns,rw,2016,50,29.64,175
opendns,sa,2016,4800,64.22,58
opendns,sc,2016,60,31.02,172
opendns,sd,2016,500,47.09,118
opendns,se,2016,14710,72.71,43
opendns,sg,2016,8000,68.09,51
opendns,si,2016,1050,52.71,95
opendns,sk,2016,12440,71.44,46
opendns,sl,2016,10,17.45,199
opendns,sm,2016,110,35.61,158
opendns,sn,2016,1220,53.84,93
opendns,so,2016,50,29.64,175
opendns,sr,2016,30,25.77,181
opendns,st,2016,30,25.77,181
opendns,sv,2016,2790,60.11,76
opendns,sx,2016,30,25.77,181
opendns,sy,2016,15680,73.19,41
opendns,sz,2016,70,32.19,165
opendns,tc,2016,20,22.7,191
opendns,td,2016,30,25.77,181
opendns,tg,2016,220,40.87,135
opendns,th,2016,19560,74.87,36
opendns,tj,2016,130,36.88,148
opendns,tl,2016,20,22.7,191
opendns,tn,2016,9990,69.78,47
opendns,to,2016,20,22.7,191
opendns,tr,2016,154080,90.5,5
opendns,tt,2016,830,50.93,106
opendns,tw,2016,73570,84.9,17
opendns,tz,2016,440,46.12,122
opendns,ua,2016,58780,83.2,20
opendns,ug,2016,130,36.88,148
opendns,us,2016,539540,100.0,1
opendns,uy,2016,9670,69.53,48
opendns,uz,2016,1190,53.66,94
opendns,vc,2016,520,47.38,115
opendns,ve,2016,3290,61.36,68
opendns,vg,2016,980,52.18,97
opendns,vi,2016,30,25.77,181
opendns,vn,2016,107250,87.76,10
opendns,vu,2016,20,22.7,191
opendns,ws,2016,10,17.45,199
opendns,xk,2016,240,41.52,133
opendns,xy,2016,1240,53.97,92
opendns,ye,2016,1780,56.71,86
opendns,za,2016,9230,69.18,49
opendns,zm,2016,110,35.61,158
opendns,zw,2016,230,41.2,134
openntp,ad,2016,30,26.77,180
openntp,ae,2016,4090,65.46,46
openntp,af,2016,120,37.68,146
openntp,ag,2016,160,39.95,138
openntp,ai,2016,10,18.12,199
openntp,al,2016,780,52.42,91
openntp,am,2016,330,45.65,115
openntp,ao,2016,230,42.8,126
openntp,ar,2016,35210,82.41,10
openntp,as,2016,30,26.77,180
openntp,at,2016,3970,65.23,47
openntp,au,2016,21470,78.51,14
openntp,aw,2016,220,42.45,127
openntp,ax,2016,200,41.7,131
openntp,az,2016,1060,54.83,85
openntp,ba,2016,1320,56.56,75
openntp,bb,2016,220,42.45,127
openntp,bd,2016,1740,58.73,67
openntp,be,2016,4280,65.82,42
openntp,bf,2016,10,18.12,199
openntp,bg,2016,4940,66.95,39
openntp,bh,2016,510,49.07,104
openntp,bj,2016,10,18.12,199
openntp,bm,2016,480,48.6,106
openntp,bn,2016,100,36.25,150
openntp,bo,2016,850,53.09,90
openntp,bq,2016,10,18.12,199
openntp,br,2016,71890,88.02,6
openntp,bs,2016,250,43.46,125
openntp,bt,2016,150,39.44,140
openntp,bw,2016,160,39.95,138
openntp,by,2016,1370,56.85,72
openntp,bz,2016,260,43.77,122
openntp,ca,2016,22860,79.01,13
openntp,cd,2016,30,26.77,180
openntp,ch,2016,8310,71.04,30
openntp,ci,2016,80,34.49,153
openntp,cl,2016,4920,66.91,40
openntp,cm,2016,100,36.25,150
openntp,cn,2016,182470,95.36,2
openntp,co,2016,8620,71.33,28
openntp,cr,2016,1120,55.27,80
openntp,cu,2016,40,29.04,175
openntp,cv,2016,70,33.44,157
openntp,cw,2016,430,47.73,112
openntp,cy,2016,1370,56.85,72
openntp,cz,2016,6060,68.55,34
openntp,de,2016,50240,85.2,7
openntp,dj,2016,40,29.04,175
openntp,dk,2016,5970,68.44,35
openntp,do,2016,670,51.22,94
openntp,dz,2016,460,48.26,108
openntp,ec,2016,4260,65.78,43
openntp,ee,2016,520,49.23,102
openntp,eg,2016,1680,58.46,68
openntp,er,2016,20,23.58,188
openntp,es,2016,11960,73.91,24
openntp,fi,2016,3350,63.89,52
openntp,fj,2016,280,44.35,119
openntp,fm,2016,40,29.04,175
openntp,fo,2016,140,38.9,141
openntp,fr,2016,38000,83.01,9
openntp,ga,2016,20,23.58,188
openntp,gb,2016,43430,84.06,8
openntp,gd,2016,20,23.58,188
openntp,ge,2016,1920,59.51,63
openntp,gf,2016,30,26.77,180
openntp,gg,2016,10,18.12,199
openntp,gh,2016,310,45.15,118
openntp,gi,2016,30,26.77,180
openntp,gl,2016,50,30.79,168
openntp,gm,2016,60,32.23,163
openntp,gn,2016,10,18.12,199
openntp,gp,2016,20,23.58,188
openntp,gq,2016,110,37.0,147
openntp,gr,2016,3410,64.03,50
openntp,gt,2016,860,53.19,89
openntp,gu,2016,80,34.49,153
openntp,gy,2016,40,29.04,175
openntp,hk,2016,14810,75.59,20
openntp,hn,2016,960,54.05,87
openntp,hr,2016,1200,55.81,78
openntp,ht,2016,330,45.65,115
openntp,hu,2016,5710,68.09,36
openntp,id,2016,8470,71.19,29
openntp,ie,2016,1800,59.0,65
openntp,il,2016,3540,64.32,49
openntp,im,2016,60,32.23,163
openntp,in,2016,35000,82.36,11
openntp,iq,2016,450,48.09,109
openntp,ir,2016,4230,65.73,44
openntp,is,2016,1240,56.07,76
openntp,it,2016,18590,77.38,15
