2016-03-01,de,222700
2016-06-01,pk,222400
2016-02-01,il,220800
2016-05-01,dz,220300
2016-02-01,xy,219100
2016-08-01,vn,218300
2016-05-01,eg,216000
2016-03-01,se,215500
2016-06-01,ba,215200
2016-01-01,us,215100
2016-02-01,cl,211700
2016-01-01,br,211000
2016-04-01,ba,204400
2016-01-01,tr,201600
2016-04-01,au,201400
2016-04-01,pl,200900
2016-03-01,gb,198900
2016-02-01,kz,195300
2016-03-01,cl,192500
2016-01-01,ar,189100
2016-06-01,pl,189100
2016-02-01,tt,188700
2016-02-01,dz,187100
2016-03-01,hk,184700
2016-02-01,me,182300
2016-06-01,mu,182200
2016-06-01,bo,182200
2016-06-01,cl,181000
2016-08-01,my,179200
2016-03-01,no,178100
2016-02-01,md,177200
2016-04-01,cr,175000
2016-06-01,au,172900
2016-03-01,xy,172700
2016-08-01,gr,172200
2016-03-01,do,166300
2016-04-01,ae,164900
2016-03-01,il,164500
2016-01-01,co,163300
2016-05-01,sg,161800
2016-07-01,sg,158700
2016-03-01,kz,157600
2016-04-01,cy,157000
2016-01-01,ru,156500
2016-06-01,ae,154600
2016-05-01,nl,154200
2016-04-01,bo,153400
2016-02-01,fr,151100
2016-04-01,am,150900
2016-08-01,tn,150400
2016-04-01,ph,148100
2016-07-01,ec,147400
2016-06-01,ph,146400
2016-07-01,eg,145500
2016-02-01,by,145000
2016-02-01,am,144200
2016-01-01,uy,144200
2016-01-01,ve,142900
2016-04-01,cl,141600
2016-07-01,pk,141200
2016-07-01,mx,140400
2016-05-01,ec,139800
2016-08-01,jp,138400
2016-04-01,xy,138300
2016-07-01,ba,137200
2016-06-01,cy,135800
2016-03-01,me,133500
2016-06-01,xy,132800
2016-05-01,mx,131900
2016-05-01,gb,131300
2016-06-01,fr,128500
2016-03-01,tt,127900
2016-06-01,hk,126800
2016-08-01,es,126600
2016-04-01,hk,126500
2016-07-01,cl,126300
2016-04-01,de,125000
2016-06-01,de,124500
2016-05-01,pk,124400
2016-02-01,dk,123700
2016-06-01,nl,123300
2016-06-01,hu,121500
2016-02-01,hr,118200
2016-06-01,gb,115500
2016-08-01,ua,115500
2016-05-01,ba,115400
2016-08-01,kr,115000
2016-07-01,mu,114700
2016-07-01,pl,113900
2016-02-01,be,113400
2016-03-01,fr,113200
2016-04-01,se,113200
2016-06-01,se,112700
2016-08-01,co,111800
2016-08-01,ca,111300
2016-05-01,pl,109100
2016-04-01,gb,108600
2016-01-01,gr,108500
2016-02-01,nz,106000
2016-06-01,am,105800
2016-06-01,kz,105200
2016-03-01,by,104300
2016-02-01,ro,104100
2016-05-01,mu,103200
2016-02-01,ie,103000
2016-02-01,ch,102400
2016-04-01,il,101400
2016-07-01,bo,100900
2016-07-01,au,100700
2016-04-01,do,100400
2016-05-01,bo,99800
2016-01-01,vn,99500
2016-05-01,au,99000
2016-04-01,kz,98900
2016-08-01,bg,96900
2016-07-01,ph,95800
2016-01-01,my,95200
2016-06-01,no,94600
2016-05-01,cl,94500
2016-02-01,lt,93600
2016-07-01,fr,93400
2016-02-01,pe,93400
2016-06-01,do,92400
2016-03-01,am,91900
2016-03-01,dk,91700
2016-05-01,cy,91500
2016-06-01,il,88700
2016-05-01,ae,88500
2016-03-01,nz,88100
2016-07-01,ae,86900
