2015,kr,4067460
2015,hu,3151400
2014,kr,3098070
2016,hu,2909430
2015,us,2268810
2015,cn,1869600
2016,mx,1578010
2016,kr,1471290
2015,ru,1395690
2016,us,944690
2015,br,742960
2016,vn,602080
2016,in,598630
2014,vn,567950
2015,ua,554680
2015,id,528120
2015,vn,499580
2016,br,423170
2015,hk,419660
2015,in,403340
2014,us,337060
2015,tw,326780
2015,de,319190
2013,kr,304330
2016,cn,299250
2016,ru,270680
2014,ru,240020
2015,gb,239840
2014,jp,228740
2016,ir,224080
2015,sg,212370
2014,cn,205110
2013,in,203530
2014,ar,200940
2013,pe,184210
2015,pl,178480
2014,br,175370
2015,co,174250
2015,ca,173170
2015,fr,168850
2015,ir,166110
2015,es,162900
2015,it,157720
2013,tw,154590
2016,tr,151020
2013,ir,150590
2014,xy,146760
2016,id,144430
2015,nl,143160
2013,by,139880
2013,vn,133800
2015,bg,133650
2016,fr,132420
2015,ar,130790
2015,bd,128790
2015,jp,126550
2014,tw,122440
2013,ru,120580
2014,kz,118390
2014,pe,117530
2014,in,117050
2015,tr,116950
2014,ua,114130
2015,mx,113210
2013,jp,103490
2016,pe,102320
2015,th,98510
2015,bo,94200
2015,ro,91360
2016,hk,90440
2014,es,89770
2016,co,87640
2013,ua,85440
2013,us,84450
2016,pk,81930
2015,rs,81460
2014,co,80920
2016,ar,80900
2016,de,79350
2014,it,75280
2014,mx,73750
2016,ua,72830
2013,kz,72630
2016,tw,72570
2015,ve,71850
2014,de,71640
2014,ir,64310
2014,fr,61530
2014,pl,60310
2014,nl,59380
2016,it,58930
2016,jp,56730
2014,cl,56430
2013,id,55490
2014,tr,55260
2013,ar,54240
2014,by,54130
2015,za,53670
2015,xy,53520
2015,kz,52830
2015,eg,52590
2014,ro,51680
2014,pt,51590
2015,ph,51240
2015,se,50820
2016,pr,50130
2016,gb,49220
2013,ph,49060
2016,es,48680
2015,cl,48370
2014,il,48050
2015,al,47260
2015,be,46240
2013,co,45750
2015,cz,44330
2016,bd,44180
2016,pl,43850
2014,id,42680
2015,im,42540
2015,my,41620
2014,gb,40340
2015,sa,40310
2014,th,40000
2015,ng,39320
2016,tn,39230
2016,sa,38780
2016,ph,38530
2016,ro,38420
2015,iq,38350
2015,ch,38060
2013,cn,38010
2013,br,36680
2015,zm,36120
2015,at,35940
2015,dk,35620
2013,nl,35170
2015,ie,34810
2016,ae,34720
2013,th,34150
2015,pk,34060
2013,mx,33450
2014,hk,32770
2015,au,32340
2015,il,32070
2016,bg,31920
2016,th,30820
2014,bg,30580
2016,cl,29870
2015,pt,29720
2015,ec,29600
2016,ca,28390
2014,sa,28080
2016,bo,28070
2016,ve,27920
2015,pe,27820
2016,rs,27440
2014,my,27060
2016,za,26040
2013,it,25790
2013,ro,25660
2016,ec,24930
2013,es,24450
2016,nl,24160
2016,al,24120
2015,bw,23770
2013,cl,23420
2014,mn,22880
2016,sk,22530
2014,ca,22320
2016,il,22090
2013,sa,22000
2015,by,20890
2016,eg,20700
2016,ke,20520
2015,sk,20220
2013,ec,20160
2015,no,20150
2013,de,19660
2013,pl,19510
2016,mk,19280
2016,tt,19230
2014,tn,19150
2014,au,18970
2015,lv,18730
2015,md,18210
2014,rs,18210
2014,ph,17980
2013,rs,17720
2014,hu,17650
2015,mz,17360
2016,kz,16870
2016,my,16790
2014,sg,16780
2013,bg,16600
2016,sg,16300
2013,gb,15880
2013,tr,15210
2014,ve,15210
2016,no,15200
2016,se,15010
2016,iq,14380
2014,ec,14370
2014,cz,14230
2016,au,13880
2016,hn,13680
2013,hk,13660
2016,ci,13650
