2014,jp,1693453000
2015,jp,777503600
2014,us,136716300
2014,cn,106477700
2015,us,95319900
2014,kr,71841600
2015,cn,60492700
2016,us,44902300
2014,ru,35056600
2015,kr,28323000
2015,ru,27347600
2016,cn,24688100
2014,de,20589600
2014,gb,15786800
2015,de,15428800
2016,jp,14736800
2014,fr,14150800
2016,ru,13759000
2015,br,12896200
2015,gb,12658700
2016,kr,12454500
2015,fr,12371100
2014,in,10671100
2014,br,10501100
2016,br,9965500
2015,in,8766300
2014,ca,8297100
2014,au,8168700
2015,ar,7261400
2015,au,7070500
2016,de,6740900
2015,ca,6546900
2015,mx,6078200
2016,gb,5862200
2014,hk,5699800
2014,nl,5273000
2014,mx,5224000
2014,it,5204800
2014,pl,5161200
2014,ua,5103000
2014,th,4929900
2015,my,4918800
2016,in,4870600
2016,fr,4865300
2015,it,4795700
2014,se,4702600
2016,ar,4695900
2015,th,4522800
2014,my,4264800
2015,hk,4211100
2016,mx,4063600
2014,ar,4049100
2014,ro,4016600
2014,tw,3527200
2015,xy,3510700
2014,es,3481400
2015,pl,3440700
2015,se,3298800
2015,ro,3279500
2014,tr,3266100
2015,tr,3259600
2015,es,3254900
2016,ca,3071700
2014,fi,3035800
2015,vn,2937800
2016,au,2885800
2015,nl,2849600
2014,no,2618100
2014,xy,2584200
2016,it,2570200
2015,ua,2531900
2015,ch,2497100
2014,ch,2466600
2014,dk,2435000
2016,th,2422100
2014,cz,2407200
2016,my,2297000
2016,vn,2262800
2014,id,2258900
2014,co,2217400
2014,vn,2095800
2014,sg,2080400
2016,xy,2075300
2015,co,2049100
2014,za,2029700
2016,hk,1991000
2015,dk,1977500
2016,pl,1949900
2014,kz,1930100
2015,tw,1910500
2015,cz,1904600
2014,il,1863600
2015,id,1856900
2014,hu,1829900
2014,bg,1821600
2016,ro,1759100
2014,ph,1723300
2016,es,1708800
2015,kz,1694600
2016,se,1658800
2015,ph,1568200
2014,at,1564400
2015,hu,1551300
2016,nl,1490800
2016,tr,1430300
2015,za,1427600
2016,ua,1422900
2015,sg,1410500
2015,no,1243500
2014,ae,1235000
2014,be,1194800
2015,ae,1194200
2016,id,1192000
2015,il,1177600
2015,be,1141000
2016,ch,1132000
2016,co,1114300
2015,cl,1102200
2015,ec,1069000
2016,tw,1041000
2015,at,1027300
2014,cl,1025400
2015,bg,1005000
2016,kz,993500
2014,ie,934200
2014,sk,903100
2015,ir,891900
2014,nz,882500
2015,fi,876900
2014,ec,876900
2016,cz,872400
2016,hu,862000
2016,dk,831300
2014,ir,831000
2016,ph,815200
2014,pk,807400
2015,pk,797100
2015,sa,786700
2015,sk,744300
2014,pt,742600
2015,rs,737500
2015,ke,733400
2014,,732400
2016,no,730600
2014,lv,722000
2014,cr,719100
2015,py,716900
2015,pt,716300
2015,nz,707900
2015,gr,707300
2014,gr,701300
2016,cl,691500
2016,bg,689300
2016,za,673300
2015,cr,672200
2014,ke,654800
2014,rs,647600
2014,md,642900
2014,lt,630800
2014,si,606400
2014,kw,603600
2015,si,597500
2016,ir,587600
2014,bd,581100
2015,ie,581000
2016,sg,581000
2014,bh,579600
2014,py,571300
2014,cy,566600
2016,ec,566600
2016,be,561300
2015,,546200
2015,md,544000
2016,pt,519800
2015,pe,516800
2016,ae,512600
2016,pk,511000
2015,ma,510600
2014,pe,505800
2014,hr,480200
2016,at,474200
2014,ve,472100
2016,ke,470500
2015,ve,465100
2015,pa,449600
2014,pa,449400
2016,il,444800
2015,bd,441600
2016,fi,439900
2014,sa,433700
2015,cy,426800
2016,gr,410800
2015,kw,403000
2016,py,401400
2016,rs,395600
2014,gt,390900
2015,kh,385600
2015,lt,365900
2015,uy,361600
2015,mo,360900
2015,hr,360800
2016,sk,350000
2014,eg,347500
2014,pr,345200
2016,si,333300
2015,eg,331700
2016,pe,328800
2014,ma,323300
2016,md,319300
2016,nz,318800
2015,qa,316900
2015,pr,315700
2014,uy,308700
2016,uy,308500
2014,ge,299400
2014,is,299300
2015,ba,299100
2015,by,296800
2014,mk,296400
2014,kh,295700
2015,mk,291900
2015,hn,290900
2016,bd,280500
2015,is,276300
2016,ma,273400
2015,ps,273300
2014,sv,268900
2016,,268000
2014,ng,267500
2014,lk,264500
2014,hn,263200
2016,ge,260400
2016,sa,257100
2015,ng,256300
2015,gt,256300
2015,do,255800
2015,lk,251200
2016,ie,248400
2016,ve,248000
2016,pa,244800
2014,qa,242200
2014,by,241200
2014,bo,240200
2015,sv,233500
2015,lv,231400
2014,az,230900
2014,ba,228300
2016,kh,225700
2016,eg,219700
2015,az,214500
2015,bo,214200
2014,mo,211200
2015,lu,210100
2014,jo,205100
2015,ni,201600
2016,kw,201300
2016,pr,198300
2016,qa,197500
2015,ge,196900
2016,mo,196400
2015,la,193500
2014,lu,192300
2016,cy,190700
2016,by,182400
2014,tn,179500
2015,mn,177600
2016,hr,174900
2014,ee,171800
2016,is,170200
2015,jm,165600
2016,mk,165400
2014,ni,164900
2014,lb,164500
2015,jo,163300
2016,mn,159100
2014,tt,158900
2015,lb,157400
2016,ba,151000
2015,bh,150800
2015,tn,150100
2016,ng,148200
2014,jm,147100
2016,cr,146900
2016,hn,146100
2016,ni,145200
2016,ps,144500
2014,kg,141400
2015,mt,140700
2014,tz,139800
2015,bm,139300
2015,al,138100
2015,dz,138000
2015,tt,136900
2014,bm,135800
2016,lt,134800
2016,az,134500
2014,zw,133800
2014,ps,133400
2015,tz,132900
2014,la,128400
2014,uz,126500
2015,mu,126300
2014,do,124800
2015,zw,122100
2016,bo,120500
2016,gt,120500
2016,mu,119000
2016,sv,117500
2015,uz,117200
2014,sd,115200
2014,mt,114700
2016,do,114400
2014,ug,113200
2015,rw,111300
2014,bb,110600
