2015-12-01,35828,729000
2016-02-01,35828,583600
2016-04-01,48131,578800
2016-01-01,13999,567700
2016-01-01,35828,521600
2016-05-01,48131,481400
2015-10-01,35828,426100
2015-11-01,35828,405700
2016-03-01,35828,396000
2015-08-01,35828,389800
2015-07-01,35828,334300
2015-06-01,35828,299300
2016-01-01,22646,289600
2015-05-01,35828,256200
2015-09-01,35828,247300
2016-03-01,62292,239300
2015-03-01,4766,235800
2015-04-01,4766,223900
2015-05-01,4766,192100
2016-05-01,45899,191700
2015-07-01,4134,190200
2016-01-01,28509,179000
2015-01-01,4766,175700
2014-09-01,4766,162700
2015-02-01,4766,160300
2014-11-01,4766,159900
2014-10-01,4766,159600
2016-02-01,13999,154700
2015-07-01,4766,153700
2016-05-01,4766,146100
2016-04-01,4766,142600
2015-06-01,4766,142200
2016-03-01,4766,139600
2015-01-01,3786,138200
2014-12-01,3786,137500
2015-08-01,4766,135800
2016-01-01,11888,135700
2015-03-01,3786,133500
2014-06-01,4766,131000
2014-12-01,4766,129000
2016-05-01,8151,122900
2014-08-01,4766,121300
2015-05-01,3786,119000
2015-02-01,3786,118700
2014-07-01,4766,114700
2015-12-01,4837,111400
2015-07-01,4837,108900
2016-01-01,4766,107400
2014-10-01,45899,106800
2015-12-01,4766,106600
2015-08-01,4134,106400
2015-09-01,4766,103700
2013-09-01,6147,103100
2014-05-01,4766,101500
2016-02-01,4766,101300
2014-09-01,45899,100300
2015-06-01,3786,96700
2015-10-01,4134,95800
2015-04-01,3786,95300
2015-08-01,3786,92600
2014-09-01,3786,91200
2015-09-01,3786,89700
2014-11-01,3786,89200
2014-10-01,3786,89100
2016-05-01,7552,88800
2016-05-01,9318,88600
2016-05-01,9829,85200
2015-08-01,4837,84200
2016-02-01,12876,83300
2016-04-01,9318,82900
2015-10-01,17974,82600
2016-02-01,28509,81900
2014-04-01,4766,80900
2015-10-01,4837,79000
2016-03-01,28201,76000
2015-12-01,3786,75300
2016-05-01,6147,75200
2015-12-01,4134,72900
2015-07-01,3786,70900
2013-08-01,6147,67900
2014-08-01,3786,65900
2016-01-01,3786,63800
2016-03-01,9318,63100
2015-05-01,9318,63000
2015-09-01,4134,62000
2014-01-01,4766,61700
2016-04-01,3786,61000
2015-07-01,9829,60800
2015-11-01,28024,58600
2014-06-01,3786,55500
2016-02-01,3786,55100
2014-10-01,9318,54800
2014-05-01,3786,54700
2013-08-01,3462,54600
2015-11-01,4766,54400
2016-04-01,35828,54200
2014-12-01,9318,53800
2015-10-01,3786,53600
2015-03-01,9318,51600
2016-05-01,18403,51300
2015-11-01,3786,51300
2014-09-01,,51100
2016-03-01,45899,51000
2015-04-01,9318,50300
2015-07-01,3462,50300
2015-10-01,4766,50000
2015-11-01,203362,50000
2016-02-01,9318,50000
2016-05-01,24560,49600
2015-11-01,4837,49400
2015-08-01,17974,49300
2014-02-01,3786,49200
2014-03-01,4766,48700
2015-10-01,9318,48200
2014-07-01,3786,48100
2015-11-01,45899,48000
2015-01-01,45899,47800
2015-11-01,9318,47800
2014-03-01,3786,47600
2014-09-01,9318,47500
2016-03-01,3786,46800
2014-04-01,3786,46500
2013-12-01,4766,45700
2015-12-01,24940,45700
2016-02-01,4134,45400
2015-09-01,4837,44600
2014-07-01,45899,44300
2015-06-01,9318,43900
2013-08-01,6697,42700
2016-05-01,9121,42200
2015-02-01,9318,42000
2015-08-01,45899,41200
2015-10-01,8928,40900
2016-05-01,35828,40400
2016-01-01,9318,40300
2016-02-01,7922,39700
2015-12-01,37963,39700
2016-01-01,,39400
2015-10-01,37963,39300
2014-02-01,4766,38600
2015-12-01,9318,38500
2015-09-01,17974,37400
2015-07-01,7922,37200
2015-07-01,42610,37000
2015-08-01,7922,36900
2015-10-01,47165,36400
2015-07-01,17974,36300
2013-09-01,9829,36000
2013-10-01,6697,35700
2015-09-01,45899,35200
2014-01-01,3786,35000
2015-07-01,37963,35000
2013-08-01,45899,34700
2016-05-01,3786,34200
2015-10-01,3462,34100
2015-08-01,45996,34000
2016-04-01,45899,33800
2015-09-01,9318,32600
2016-01-01,12876,32200
2014-09-01,6147,32200
2014-10-01,7552,31900
2015-08-01,9498,31900
2014-06-01,9318,31700
2015-09-01,9829,31400
2016-03-01,9829,31400
2015-10-01,45090,31300
2015-07-01,4773,31100
2016-05-01,24086,30900
2015-09-01,45996,30900
2015-06-01,9848,30600
2015-08-01,9829,29900
2013-09-01,3462,29900
2015-07-01,36351,29800
2015-07-01,11404,29600
2014-10-01,18403,29600
2013-09-01,6697,29500
2015-05-01,9848,29500
2015-10-01,8560,29200
2015-07-01,13188,28700
2015-10-01,24154,28600
2013-11-01,4766,28400
2014-10-01,6147,28400
2014-09-01,4837,28300
2014-09-01,9198,28200
2016-02-01,37963,28100
2013-09-01,45899,28000
2016-05-01,45595,28000
2016-02-01,36423,27700
2014-11-01,9318,27600
2015-07-01,20115,27600
2015-12-01,20115,27300
2014-09-01,18403,27100
2015-11-01,56300,27000
2015-06-01,4134,26500
2015-12-01,262832,26500
2015-01-01,9286,26500
2015-01-01,,26400
2015-08-01,3462,26300
2015-01-01,9318,26100
2014-10-01,,26100
2014-09-01,7552,25900
2015-12-01,4538,25500
2015-08-01,24940,25500
2015-11-01,3462,25000
2015-08-01,24955,24800
2016-02-01,29182,24700
2015-09-01,24955,24700
2014-08-01,9318,24600
2013-08-01,4766,24600
2015-08-01,42610,24500
2014-07-01,,24200
2015-12-01,3462,24000
2016-03-01,24560,23900
2015-07-01,7643,23900
2015-07-01,24955,23800
2015-07-01,16276,23800
2015-09-01,3462,23500
2015-09-01,7922,23400
2014-06-01,,23200
2014-06-01,45899,23100
2016-05-01,13999,22900
2015-08-01,17816,22900
2016-01-01,11976,22700
2013-12-01,3786,22600
2015-12-01,327991,22500
2015-11-01,4134,22300
2014-05-01,4837,22300
2015-07-01,6830,22300
2014-05-01,45899,22300
2016-05-01,12880,22100
2016-03-01,9121,21800
2015-07-01,4538,21800
2015-07-01,34456,21700
2015-12-01,8560,21600
2014-12-01,38661,21600
2016-04-01,9829,21600
2015-08-01,20115,21500
2015-10-01,8048,21500
2013-08-01,9829,21400
2014-05-01,,21200
2014-10-01,9198,21100
2015-08-01,13188,20900
2015-07-01,9676,20900
2015-07-01,17816,20700
2015-07-01,9905,20600
2015-07-01,9848,20500
2015-03-01,45899,20500
2015-07-01,8400,20500
2015-10-01,32613,20300
2015-08-01,9318,20200
2015-08-01,11404,20200
2015-10-01,24955,20100
2015-08-01,133478,20000
2015-12-01,133478,19900
2015-08-01,4773,19800
2014-04-01,45899,19800
2015-09-01,37963,19700
2013-10-01,4766,19700
2014-07-01,9318,19600
2015-08-01,7018,19500
2015-07-01,63889,19500
2015-10-01,9829,19500
2013-09-01,9198,19400
2016-05-01,22927,19400
2013-09-01,12880,19300
2015-10-01,20115,19100
2014-05-01,9318,19100
2016-01-01,45899,19100
2016-02-01,4808,18900
2014-09-01,22927,18800
2015-12-01,45090,18800
2015-06-01,4515,18800
2015-07-01,10796,18700
2015-08-01,8048,18600
2015-07-01,35154,18600
2015-12-01,7922,18300
2016-03-01,7552,18300
2015-02-01,,18200
2016-02-01,,18100
2013-08-01,9198,18100
2016-05-01,5384,18100
2015-07-01,35415,18000
2015-10-01,10098,18000
2015-08-01,37963,18000
2016-01-01,3462,17900
2016-01-01,4134,17800
2015-12-01,47165,17800
2014-03-01,55899,17800
2013-09-01,4766,17600
2016-02-01,18302,17500
2015-02-01,9286,17400
2015-11-01,3269,17300
2016-05-01,25019,17200
2014-05-01,38661,17100
2014-10-01,22927,17100
2015-11-01,7552,17100
2015-07-01,57093,17100
2013-11-01,3786,17000
2014-11-01,9286,17000
2015-06-01,17444,17000
2013-08-01,12880,17000
2015-07-01,58543,16900
2014-12-01,9286,16800
2015-11-01,18403,16700
2015-07-01,50673,16700
2016-01-01,18302,16600
2014-11-01,38661,16600
2016-05-01,17072,16600
2013-11-01,6697,16500
2014-09-01,10481,16500
2016-05-01,6503,16400
2013-12-01,17676,16400
2016-01-01,27665,16300
2015-01-01,7552,16200
2014-01-01,56041,16100
2015-01-01,17589,16100
2015-11-01,24940,16100
2015-11-01,16509,16000
2016-05-01,18049,16000
2014-03-01,3462,15900
2015-11-01,9905,15900
2015-10-01,57093,15900
2014-12-01,4837,15800
2015-08-01,4618,15700
2015-04-01,35828,15700
2015-08-01,16276,15500
2016-01-01,36423,15400
2015-12-01,45899,15400
2016-04-01,7552,15400
2015-01-01,18403,15400
2015-05-01,9381,15300
2015-07-01,8452,15200
2014-07-01,6147,15100
2015-02-01,45899,15100
2016-02-01,28201,15000
2015-10-01,12301,15000
2013-11-01,17676,14900
2015-09-01,13188,14900
2015-07-01,30036,14900
2015-07-01,12880,14900
2013-12-01,9318,14900
2015-09-01,16276,14800
2015-10-01,6848,14800
2016-01-01,27672,14800
2015-08-01,9905,14600
2016-04-01,24560,14600
2015-07-01,33363,14500
2014-04-01,55899,14500
2013-10-01,17676,14400
2015-07-01,21261,14400
2016-05-01,10620,14400
2016-05-01,48159,14300
2015-10-01,12876,14300
2016-02-01,42910,14200
2015-07-01,29182,14200
2015-09-01,4812,14200
2016-01-01,17858,14200
2016-01-01,4837,14100
2015-09-01,9381,14100
2016-03-01,18403,14100
2015-12-01,9848,14100
2015-10-01,20473,14000
2016-05-01,17974,14000
2015-08-01,25019,14000
2015-03-01,4837,14000
2015-11-01,18881,14000
2013-08-01,3786,13900
2015-07-01,4663,13900
2015-09-01,42610,13900
2015-09-01,20115,13900
2014-09-01,3243,13800
2014-09-01,38661,13700
2013-09-01,17676,13700
2014-10-01,10481,13600
2016-05-01,28548,13600
2015-07-01,8359,13600
2015-09-01,4515,13600
2015-06-01,4837,13600
2016-02-01,22646,13500
2014-06-01,4837,13500
2016-02-01,11976,13500
2016-05-01,10481,13500
2016-05-01,17813,13400
2014-12-01,,13400
2016-01-01,17444,13400
2015-06-01,9381,13300
2014-04-01,3462,13300
2013-12-01,6697,13300
2014-02-01,55899,13300
2015-10-01,9905,13200
2015-10-01,45899,13200
2015-12-01,28257,13200
2014-07-01,9198,13200
2013-08-01,18403,13200
2015-07-01,133478,13200
2016-05-01,23700,13100
2016-03-01,45595,13100
2016-04-01,8151,13000
2015-07-01,51604,13000
2016-02-01,17858,13000
2015-08-01,56040,13000
2015-11-01,15516,13000
2015-08-01,33363,12900
2014-09-01,17676,12900
2015-10-01,38661,12900
2015-07-01,5722,12900
2016-02-01,9121,12800
2013-09-01,48159,12800
2014-09-01,4134,12800
2016-02-01,11888,12700
2014-06-01,38661,12700
2015-09-01,11404,12700
2015-03-01,,12700
2015-03-01,4134,12600
2015-05-01,4837,12600
2016-03-01,8151,12600
2015-10-01,8452,12600
2015-10-01,17816,12500
