2016-02-01,4812,8312800
2016-02-01,4134,6922200
2016-03-01,4812,6898800
2016-03-01,4134,5513800
2016-02-01,9121,5244500
2016-04-01,4812,4415600
2016-03-01,9121,4270400
2016-02-01,8048,4201200
2016-02-01,6057,3848200
2016-04-01,4134,3453400
2016-03-01,8048,3183500
2016-06-01,4134,2844100
2016-04-01,9121,2697900
2016-02-01,22927,2687400
2016-05-01,4812,2617700
2016-06-01,9121,2600700
2016-06-01,22927,2582500
2016-02-01,19429,2300600
2016-02-01,4788,2283400
2016-03-01,22927,2196300
2016-02-01,18403,2158100
2016-06-01,8048,2092600
2016-04-01,8048,1987700
2016-03-01,18403,1977200
2016-05-01,4134,1856300
2016-03-01,4766,1834700
2016-03-01,19429,1815700
2016-03-01,6057,1808200
2016-02-01,4766,1787700
2016-04-01,22927,1670400
2016-02-01,37705,1666900
2016-02-01,7922,1620100
2016-07-01,9121,1579200
2016-05-01,9121,1570900
2016-07-01,22927,1567200
2016-06-01,4812,1559700
2016-07-01,4134,1546300
2016-03-01,4788,1535500
2016-02-01,12715,1508500
2016-06-01,18403,1443000
2016-02-01,7303,1428700
2016-04-01,18403,1395000
2016-07-01,8048,1389700
2016-02-01,6849,1353900
2016-03-01,12715,1311000
2016-03-01,37705,1285900
2016-05-01,8048,1282300
2016-02-01,18881,1277300
2016-05-01,22927,1242900
2016-04-01,4788,1227600
2016-06-01,4788,1178600
2016-02-01,8866,1135700
2016-03-01,7922,1115800
2016-02-01,3816,1091100
2016-02-01,6866,1084800
2016-03-01,7303,1052200
2016-03-01,6849,1026500
2016-07-01,18403,904700
2016-05-01,18403,891200
2016-06-01,37705,885800
2016-06-01,4766,874800
2016-06-01,12715,842200
2016-03-01,6866,842200
2016-04-01,12715,831300
2016-02-01,5483,828100
2016-04-01,19429,824000
2016-03-01,8866,809100
2016-02-01,25472,792700
2016-06-01,18881,787600
2016-04-01,37705,777800
2016-03-01,3816,776100
2016-02-01,6327,763600
2016-02-01,11556,756300
2016-03-01,18881,743700
2016-06-01,7303,738600
2016-07-01,4788,733300
2016-04-01,7303,727100
2016-04-01,18881,710600
2016-02-01,20115,704000
2016-04-01,4766,698900
2016-05-01,4788,687000
2016-04-01,6057,672700
2016-03-01,5483,668500
2016-06-01,6057,667800
2016-04-01,7922,653900
2016-04-01,4837,647100
2016-06-01,11556,645500
2016-03-01,11556,641300
2016-06-01,7922,631200
2016-03-01,3462,619900
2016-06-01,6849,618000
2016-07-01,4766,616500
2016-04-01,6849,612900
2016-03-01,25472,608800
2016-06-01,4837,607900
2016-06-01,8866,605900
2016-02-01,1241,595400
2016-02-01,3462,593800
2016-02-01,9829,573600
2016-03-01,6327,561600
2016-02-01,4713,538400
2016-05-01,18881,535100
2016-07-01,18881,534500
2016-07-01,37705,529000
2016-04-01,3816,520100
2016-03-01,20115,519500
2016-07-01,12715,518900
2016-04-01,11556,511700
2016-02-01,24863,511300
2016-06-01,3816,510800
2016-02-01,14420,499800
2016-02-01,1267,496600
2016-02-01,9506,496400
2016-04-01,6866,494000
2016-04-01,8866,488600
2016-06-01,6866,484500
2016-05-01,12715,479300
2016-06-01,36947,477000
2016-05-01,4766,476600
2016-05-01,37705,476000
2016-03-01,1241,466500
2016-02-01,23889,463000
2016-07-01,7303,454800
2016-05-01,7303,437200
2016-02-01,13127,435900
2016-02-01,24560,429900
2016-03-01,9829,415900
2016-02-01,28573,414900
2016-04-01,5483,410600
2016-05-01,6057,402900
