2015,4134,35447440
2015,8151,22899240
2016,4134,21993140
2015,9121,19111930
2015,17974,18379850
2015,45899,16202540
2015,4837,14531000
2016,17974,14148870
2015,9829,13515480
2016,9121,12915110
2016,8151,12641320
2015,24560,12247860
2015,3462,11609360
2016,24560,11578700
2015,36947,11319230
2016,4837,10957510
2015,4788,10784940
2016,9829,10738490
2015,4766,10567030
2016,4788,10376060
2016,36947,10288060
2015,8452,9602310
2016,45899,8968530
2015,19429,8630700
2015,,8353620
2015,17813,7659110
2016,8452,7476770
2015,5617,7250730
2016,3462,7196980
2016,4766,7174310
2016,17813,6520600
2016,12880,6443530
2015,16276,6293780
2016,16276,5516710
2016,5617,5494270
2015,12880,5162570
2015,9198,5037170
2016,19429,4866660
2014,4134,4624050
2015,9299,4578380
2015,46606,4542930
2016,6849,4529690
2014,3462,4064300
2015,7303,3922860
2016,9198,3806180
2016,43754,3790470
2015,8866,3775540
2014,8151,3697430
2016,46606,3526730
2016,9299,3435920
2015,8400,3361780
2016,28166,3283800
2015,6849,3236040
2015,36351,3123830
2014,9121,3081920
2015,48159,3075430
2016,48159,3064320
2016,36352,2987540
2016,8866,2950320
2015,20013,2939250
2015,701,2871130
2015,29256,2765320
2015,209,2702340
2015,7552,2621590
2015,12389,2600780
2016,8400,2593170
2016,7303,2576520
2015,32244,2572740
2014,45899,2567730
2016,16322,2487510
2015,5650,2486150
2015,25472,2429570
2016,12389,2421340
2016,31549,2402510
2015,2554,2367160
2015,6400,2360290
2015,24863,2359700
2015,18881,2319680
2015,13489,2316000
2015,24940,2285780
2014,22927,2254400
2014,17974,2248430
2016,25472,2230130
2015,26599,2201890
2016,20013,2183120
2016,36351,2155960
2015,43754,2145740
2015,32475,2105090
2015,3816,2082500
2015,9146,2059890
2015,7018,2057380
2016,32244,2036660
2016,701,1984420
2015,26496,1975010
2016,24940,1953690
2015,28166,1949200
2016,209,1941260
2015,9269,1905550
2015,3269,1880750
2016,2554,1873500
2015,4808,1864340
2015,18403,1814150
2016,32475,1743400
2015,12874,1734270
2015,17917,1733770
2016,36903,1731210
2016,13489,1681400
2015,31549,1668330
2015,5384,1665320
2014,4837,1658670
2016,26496,1651540
2015,8926,1647250
2015,45758,1642710
2016,26599,1637640
2016,5650,1634900
2015,9808,1627980
2015,9394,1609280
2016,29256,1599260
2016,7018,1560040
2015,16322,1559850
2016,6400,1507260
2016,9146,1488660
2015,30722,1487630
2015,8560,1476230
2015,14754,1446160
2015,4713,1445850
2014,8452,1442180
2016,9808,1420910
2014,23969,1406810
2014,13285,1384530
2016,58085,1380560
2015,9318,1374210
2014,9318,1372130
2015,13285,1369200
2015,3320,1367260
2015,22927,1364540
2015,54290,1360780
2015,12978,1359260
2014,3816,1346850
2016,7552,1334220
2015,12741,1324170
2014,5617,1309380
2016,7738,1307420
2015,15962,1289180
2015,3502,1286000
2015,3215,1265850
2016,12874,1264410
2016,24863,1257400
2015,36444,1250110
2015,35819,1249500
2014,18403,1246700
2015,6057,1242810
2015,36903,1228760
2015,7922,1226850
2015,12297,1220960
