2015,35828,3109280
2015,4766,1745710
2016,35828,1598410
2014,4766,1313070
2015,3786,1129110
2016,48131,1062610
2014,3786,815020
2016,13999,760900
2016,4766,644050
2015,4134,604730
2015,4837,528710
2015,9318,477430
2014,45899,348810
2016,9318,325080
2014,9318,315530
2016,45899,300100
2016,22646,298030
2016,28509,271970
2016,3786,261640
2015,45899,253150
2016,62292,240560
2015,17974,228600
2015,3462,196460
2014,,177770
2015,9829,176000
2013,6147,173090
2015,37963,164270
2016,8151,160270
2016,9829,152650
2016,11888,151160
2015,7922,150920
2013,4766,136330
2013,6697,132430
2015,45996,132310
2016,7552,128840
2015,20115,128360
2016,12876,117760
2014,38661,117340
2015,9848,111700
2015,24955,111450
2013,3462,109600
2015,24940,107650
2014,6147,106760
2014,4837,104790
2016,24560,100760
2014,9198,100240
2015,42610,95520
2015,13188,93710
2015,,91670
2014,7552,90980
2016,28201,90620
2014,17589,88260
2016,9121,85330
2016,18403,84960
2014,3462,84730
2014,9286,84350
2014,18403,83650
2015,17816,81560
2015,9286,81070
2016,6147,81040
2015,9905,78340
2016,4134,77520
2015,18403,76490
2015,7552,76030
2013,45899,74350
2015,4538,74170
2015,11404,73420
2015,9381,71950
2013,9829,70020
2015,47165,69710
2015,8560,69030
2013,3786,68750
2015,8048,68340
2016,,66980
2013,17676,66820
2015,4515,66430
2014,17676,66290
2014,10036,66230
2014,22927,65950
2015,16276,63970
2015,6830,62590
2015,203362,61440
2015,17444,60890
2015,10796,60760
2015,28024,59900
2015,133478,59400
2015,4773,59040
2014,10481,59000
2015,38661,58930
2014,4134,58780
2016,45595,58590
2015,45090,58430
2015,3269,58300
2013,9198,57560
2014,8075,55700
2015,9498,55550
2016,18302,54440
2015,17589,53940
2015,13489,53820
2015,12880,53110
2016,7922,52850
2014,55899,52100
2015,8452,51490
2014,4713,50930
2015,8151,50770
2015,8400,50620
2016,24086,49800
2015,36352,48960
2014,6697,48460
2015,36351,48170
2015,57093,48030
2015,7018,47700
2016,37963,47570
2015,9121,46890
2015,8075,46410
2015,8359,45580
2016,36423,45060
2015,10098,44870
2016,9848,43580
