opendns,sk,2015,2399800
opendns,az,2016,2308300
opendns,cz,2016,2305900
opendns,ps,2016,2301400
openntp,my,2016,2297000
openntp,vn,2016,2262800
openntp,id,2014,2258900
spam,us,2015,2257500
openssdp,sg,2016,2230500
openntp,co,2014,2217400
opendns,do,2016,2208800
opendns,ma,2015,2153800
opendns,ba,2016,2104100
openntp,vn,2014,2095800
openntp,sg,2014,2080400
opendns,eg,2014,2077500
openntp,xy,2016,2075300
opendns,se,2016,2066900
opendns,sa,2015,2059400
opendns,ir,2014,2055600
openntp,co,2015,2049100
opendns,ae,2015,2034500
openntp,za,2014,2029700
openntp,hk,2016,1991000
opendns,pl,2014,1986300
openntp,dk,2015,1977500
opendns,br,2014,1968400
openntp,pl,2016,1949900
openntp,kz,2014,1930100
openntp,tw,2015,1910500
opendns,md,2016,1905500
openntp,cz,2015,1904600
opendns,sy,2016,1898800
opendns,sk,2016,1880300
spam,cn,2015,1876700
openntp,il,2014,1863600
openntp,id,2015,1856900
openntp,hu,2014,1829900
openntp,bg,2014,1821600
openssdp,ec,2016,1799500
openssdp,dz,2016,1785800
opendns,tn,2015,1775000
openntp,ro,2016,1759100
openssdp,eg,2016,1739600
openntp,ph,2014,1723300
openntp,es,2016,1708800
openssdp,mx,2016,1704800
openntp,kz,2015,1694600
openntp,se,2016,1658800
opendns,ch,2015,1640700
openssdp,pk,2016,1628100
opendns,za,2015,1613600
openssdp,nl,2016,1604400
opendns,am,2015,1597300
spam,mx,2016,1573300
openntp,ph,2015,1568200
openntp,at,2014,1564400
opendns,hu,2015,1555500
openntp,hu,2015,1551300
opendns,hr,2015,1520200
opendns,es,2014,1515900
opendns,tn,2016,1514200
openssdp,mu,2016,1501800
opendns,uy,2015,1498100
openntp,nl,2016,1490800
spam,kr,2016,1462500
openssdp,ba,2016,1461100
openssdp,au,2016,1440800
openntp,tr,2016,1430300
openntp,za,2015,1427600
openntp,ua,2016,1422900
opendns,uy,2016,1412100
openntp,sg,2015,1410500
spam,ru,2015,1389400
opendns,sg,2015,1386000
opendns,jp,2014,1384300
openssdp,pl,2016,1373100
opendns,za,2016,1352400
opendns,de,2014,1278000
openntp,no,2015,1243500
openntp,ae,2014,1235000
opendns,hr,2016,1229700
openntp,be,2014,1194800
openntp,ae,2015,1194200
openntp,id,2016,1192000
openntp,il,2015,1177600
opendns,dz,2014,1177300
openssdp,ae,2016,1153900
opendns,lk,2015,1142000
openntp,be,2015,1141000
opendns,np,2015,1140500
opendns,sg,2016,1138900
openssdp,cy,2016,1137200
opendns,ch,2016,1135800
openntp,ch,2016,1132000
openssdp,bo,2016,1126100
opendns,by,2014,1118400
openntp,co,2016,1114300
openssdp,ph,2016,1109400
opendns,hu,2016,1102400
openntp,cl,2015,1102200
openntp,ec,2015,1069000
opendns,sa,2016,1045600
openntp,tw,2016,1041000
openntp,at,2015,1027300
openntp,cl,2014,1025400
opendns,kz,2014,1009300
openntp,bg,2015,1005000
openntp,kz,2016,993500
opendns,fr,2014,992200
opendns,am,2016,992100
openssdp,cl,2016,980800
openssdp,gb,2016,974600
opendns,bz,2015,971600
openssdp,de,2016,968400
opendns,lb,2015,965600
spam,us,2016,958100
opendns,pt,2015,949000
openssdp,cr,2016,939100
opendns,pk,2016,939000
openntp,ie,2014,934200
openntp,sk,2014,903100
opendns,hn,2015,902000
opendns,np,2016,901700
openssdp,se,2016,900000
openntp,ir,2015,891900
opendns,py,2015,890900
opendns,bo,2015,886800
openntp,nz,2014,882500
opendns,cz,2014,878700
openntp,ec,2014,876900
openntp,fi,2015,876900
opendns,ro,2014,876300
openntp,cz,2016,872400
openntp,hu,2016,862000
openssdp,xy,2016,850300
openssdp,hk,2016,844300
opendns,no,2015,834500
openntp,dk,2016,831300
openntp,ir,2014,831000
opendns,cl,2015,826300
openntp,ph,2016,815200
openntp,pk,2014,807400
openntp,pk,2015,797100
openntp,sa,2015,786700
opendns,pk,2015,754000
