risk,place,year,count,score,rank
opendns,pf,2016,60,68.98,40
opendns,pg,2016,70,67.81,43
opendns,ph,2016,32830,21.21,185
opendns,pk,2016,6770,33.17,159
opendns,pl,2016,72160,15.24,196
opendns,pr,2016,740,49.94,107
opendns,ps,2016,16440,26.45,175
opendns,pt,2016,4360,36.51,153
opendns,py,2016,190,60.25,77
opendns,qa,2016,260,57.87,83
opendns,re,2016,120,63.73,57
opendns,ro,2016,28440,22.3,183
opendns,rs,2016,29270,22.08,184
opendns,ru,2016,115720,11.66,206
opendns,rw,2016,50,70.36,36
opendns,sa,2016,4800,35.78,156
opendns,sc,2016,60,68.98,40
opendns,sd,2016,500,52.91,96
opendns,se,2016,14710,27.29,171
opendns,sg,2016,8000,31.91,163
opendns,si,2016,1050,47.29,119
opendns,sk,2016,12440,28.56,168
opendns,sl,2016,10,82.55,1
opendns,sm,2016,110,64.39,55
opendns,sn,2016,1220,46.16,121
opendns,so,2016,50,70.36,36
opendns,sr,2016,30,74.23,24
opendns,st,2016,30,74.23,24
opendns,sv,2016,2790,39.89,138
opendns,sx,2016,30,74.23,24
opendns,sy,2016,15680,26.81,173
opendns,sz,2016,70,67.81,43
opendns,tc,2016,20,77.3,16
opendns,td,2016,30,74.23,24
opendns,tg,2016,220,59.13,79
opendns,th,2016,19560,25.13,178
opendns,tj,2016,130,63.12,64
opendns,tl,2016,20,77.3,16
opendns,tn,2016,9990,30.22,167
opendns,to,2016,20,77.3,16
opendns,tr,2016,154080,9.5,209
opendns,tt,2016,830,49.07,108
opendns,tw,2016,73570,15.1,197
opendns,tz,2016,440,53.88,92
opendns,ua,2016,58780,16.8,194
opendns,ug,2016,130,63.12,64
opendns,us,2016,539540,0.0,213
opendns,uy,2016,9670,30.47,166
opendns,uz,2016,1190,46.34,120
opendns,vc,2016,520,52.62,98
opendns,ve,2016,3290,38.64,145
opendns,vg,2016,980,47.82,117
opendns,vi,2016,30,74.23,24
opendns,vn,2016,107250,12.24,204
opendns,vu,2016,20,77.3,16
opendns,ws,2016,10,82.55,1
opendns,xk,2016,240,58.48,81
opendns,xy,2016,1240,46.03,122
opendns,ye,2016,1780,43.29,128
opendns,za,2016,9230,30.82,165
opendns,zm,2016,110,64.39,55
opendns,zw,2016,230,58.8,80
openntp,ad,2016,30,73.23,24
openntp,ae,2016,4090,34.54,165
openntp,af,2016,120,62.32,65
openntp,ag,2016,160,60.05,72
openntp,ai,2016,10,81.88,1
openntp,al,2016,780,47.58,120
openntp,am,2016,330,54.35,95
openntp,ao,2016,230,57.2,85
openntp,ar,2016,35210,17.59,201
openntp,as,2016,30,73.23,24
openntp,at,2016,3970,34.77,164
openntp,au,2016,21470,21.49,197
openntp,aw,2016,220,57.55,82
openntp,ax,2016,200,58.3,79
openntp,az,2016,1060,45.17,126
openntp,ba,2016,1320,43.44,136
openntp,bb,2016,220,57.55,82
openntp,bd,2016,1740,41.27,144
openntp,be,2016,4280,34.18,169
openntp,bf,2016,10,81.88,1
openntp,bg,2016,4940,33.05,172
openntp,bh,2016,510,50.93,107
openntp,bj,2016,10,81.88,1
openntp,bm,2016,480,51.4,104
openntp,bn,2016,100,63.75,60
openntp,bo,2016,850,46.91,121
openntp,bq,2016,10,81.88,1
openntp,br,2016,71890,11.98,205
openntp,bs,2016,250,56.54,86
openntp,bt,2016,150,60.56,71
openntp,bw,2016,160,60.05,72
openntp,by,2016,1370,43.15,138
openntp,bz,2016,260,56.23,87
openntp,ca,2016,22860,20.99,198
openntp,cd,2016,30,73.23,24
openntp,ch,2016,8310,28.96,181
openntp,ci,2016,80,65.51,55
openntp,cl,2016,4920,33.09,171
openntp,cm,2016,100,63.75,60
openntp,cn,2016,182470,4.64,209
openntp,co,2016,8620,28.67,183
openntp,cr,2016,1120,44.73,130
openntp,cu,2016,40,70.96,32
openntp,cv,2016,70,66.56,49
openntp,cw,2016,430,52.27,99
openntp,cy,2016,1370,43.15,138
openntp,cz,2016,6060,31.45,177
openntp,de,2016,50240,14.8,204
openntp,dj,2016,40,70.96,32
openntp,dk,2016,5970,31.56,176
openntp,do,2016,670,48.78,117
openntp,dz,2016,460,51.74,103
openntp,ec,2016,4260,34.22,168
openntp,ee,2016,520,50.77,108
openntp,eg,2016,1680,41.54,143
openntp,er,2016,20,76.42,13
openntp,es,2016,11960,26.09,187
openntp,fi,2016,3350,36.11,159
openntp,fj,2016,280,55.65,90
openntp,fm,2016,40,70.96,32
openntp,fo,2016,140,61.1,68
openntp,fr,2016,38000,16.99,202
openntp,ga,2016,20,76.42,13
openntp,gb,2016,43430,15.94,203
openntp,gd,2016,20,76.42,13
openntp,ge,2016,1920,40.49,148
openntp,gf,2016,30,73.23,24
openntp,gg,2016,10,81.88,1
openntp,gh,2016,310,54.85,93
openntp,gi,2016,30,73.23,24
openntp,gl,2016,50,69.21,37
openntp,gm,2016,60,67.77,44
openntp,gn,2016,10,81.88,1
openntp,gp,2016,20,76.42,13
openntp,gq,2016,110,63.0,62
openntp,gr,2016,3410,35.97,161
openntp,gt,2016,860,46.81,122
openntp,gu,2016,80,65.51,55
openntp,gy,2016,40,70.96,32
openntp,hk,2016,14810,24.41,191
openntp,hn,2016,960,45.95,124
openntp,hr,2016,1200,44.19,133
openntp,ht,2016,330,54.35,95
openntp,hu,2016,5710,31.91,175
openntp,id,2016,8470,28.81,182
openntp,ie,2016,1800,41.0,145
openntp,il,2016,3540,35.68,162
openntp,im,2016,60,67.77,44
openntp,in,2016,35000,17.64,200
openntp,iq,2016,450,51.91,101
openntp,ir,2016,4230,34.27,167
openntp,is,2016,1240,43.93,135
openntp,it,2016,18590,22.62,196
openntp,je,2016,210,57.91,81
openntp,jm,2016,680,48.66,118
openntp,jo,2016,650,49.02,116
openntp,jp,2016,116740,8.16,208
openntp,ke,2016,3400,35.99,160
openntp,kg,2016,450,51.91,101
openntp,kh,2016,1600,41.93,142
openntp,kn,2016,20,76.42,13
openntp,kr,2016,90690,10.15,206
openntp,kw,2016,1230,44.0,134
openntp,ky,2016,70,66.56,49
openntp,kz,2016,7030,30.28,179
openntp,la,2016,260,56.23,87
openntp,lb,2016,480,51.4,104
openntp,li,2016,140,61.1,68
openntp,lk,2016,560,50.19,113
openntp,lr,2016,50,69.21,37
openntp,ls,2016,10,81.88,1
openntp,lt,2016,880,46.63,123
openntp,lu,2016,520,50.77,108
openntp,lv,2016,540,50.48,110
openntp,ly,2016,50,69.21,37
openntp,ma,2016,2200,39.42,150
openntp,mc,2016,50,69.21,37
openntp,md,2016,2410,38.7,153
openntp,me,2016,320,54.6,94
openntp,mf,2016,20,76.42,13
openntp,mg,2016,180,59.12,77
openntp,mh,2016,60,67.77,44
openntp,mk,2016,1120,44.73,130
openntp,ml,2016,110,63.0,62
openntp,mm,2016,170,59.57,74
openntp,mn,2016,1110,44.81,128
openntp,mo,2016,1550,42.18,141
openntp,mp,2016,20,76.42,13
openntp,mq,2016,70,66.56,49
openntp,mr,2016,10,81.88,1
openntp,ms,2016,10,81.88,1
openntp,mt,2016,540,50.48,110
openntp,mu,2016,970,45.87,125
openntp,mv,2016,90,64.58,59
openntp,mw,2016,110,63.0,62
openntp,mx,2016,30260,18.79,199
openntp,my,2016,17870,22.93,194
openntp,mz,2016,190,58.7,78
openntp,na,2016,170,59.57,74
openntp,nc,2016,30,73.23,24
openntp,ne,2016,10,81.88,1
openntp,ng,2016,1160,44.46,132
openntp,ni,2016,1100,44.88,127
openntp,nl,2016,11330,26.52,185
openntp,no,2016,5080,32.83,174
openntp,np,2016,200,58.3,79
openntp,nz,2016,2520,38.35,155
openntp,om,2016,280,55.65,90
openntp,pa,2016,1800,41.0,145
openntp,pe,2016,2480,38.48,154
openntp,pg,2016,280,55.65,90
openntp,ph,2016,6280,31.16,178
openntp,pk,2016,4450,33.88,170
openntp,pl,2016,14140,24.78,190
openntp,pm,2016,10,81.88,1
openntp,pr,2016,1430,42.81,140
openntp,ps,2016,1110,44.81,128
openntp,pt,2016,3570,35.61,163
openntp,py,2016,2730,37.72,157
openntp,qa,2016,1360,43.21,137
